,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
56172,49049000701,49,049,701,6127,1337,6127,2490,24,126,540,728,326,566,1337,19,52,38,29,25,23,47,66,56,55,126,47,71,73,47,91,46,53,95,60,167,38,0,6,37997,1343,1199,583,72000
56173,49049000702,49,049,702,13670,3204,13670,5737,160,283,987,1772,613,1226,3204,83,185,126,96,81,130,140,90,156,177,181,82,138,105,131,107,185,115,151,122,279,200,63,22,36359,3205,2478,378,82000
56174,49049000800,49,049,800,7927,2281,7927,3759,153,448,939,991,396,557,2281,69,181,95,107,86,150,199,154,145,122,164,96,81,76,116,69,91,54,71,38,55,40,0,0,26716,2280,1532,390,58500
56175,49049000901,49,049,901,4815,1509,4815,2099,41,302,397,670,256,345,1509,100,140,110,126,70,132,137,50,134,81,76,39,54,41,32,54,18,39,27,7,12,25,5,0,21396,1507,506,333,56900
56176,49049000902,49,049,902,5724,1274,5724,2506,33,131,397,850,233,525,1274,12,31,43,63,10,52,57,39,67,38,39,42,65,53,60,52,64,34,101,73,122,94,34,5,41083,1295,1152,557,83200
56177,49049001000,49,049,1000,5602,1482,5602,2852,30,168,526,875,263,634,1482,0,75,59,58,68,65,70,56,72,74,61,51,48,65,54,21,42,38,81,57,171,108,52,17,36667,1517,1285,449,73700
56178,49049001101,49,049,1101,5381,1654,5381,2417,45,165,425,632,316,630,1654,89,144,55,107,132,71,144,124,62,97,67,68,68,56,60,37,32,42,73,25,48,39,0,0,24214,1642,647,367,70700
56179,49049001102,49,049,1102,7570,1726,7570,3250,111,263,488,986,303,682,1726,85,44,34,44,68,32,121,65,49,89,108,64,125,81,113,65,54,50,53,68,181,89,13,0,36200,1780,1477,511,77600
56180,49049001200,49,049,1200,6705,1815,6705,2920,86,179,431,961,339,621,1815,74,110,97,85,66,74,67,80,112,95,107,71,54,50,90,72,68,57,106,56,123,50,27,19,31110,1824,981,344,78200
56181,49049001300,49,049,1300,3409,1049,3409,1761,38,182,262,687,143,295,1049,37,110,49,15,54,58,104,38,49,43,77,22,76,20,51,42,38,9,12,22,44,34,25,10,28110,1061,592,332,72500
56182,49049001400,49,049,1400,8388,2279,8388,3024,46,121,257,1066,291,975,2279,88,210,113,81,87,154,155,157,166,68,106,156,95,86,67,49,51,39,80,79,64,90,9,0,26423,2296,624,545,81400
56183,49049001501,49,049,1501,3785,866,3785,1796,35,63,158,578,88,479,866,5,25,19,49,12,31,28,18,14,37,25,27,41,29,46,22,34,22,30,30,126,72,44,5,45368,876,765,706,112900
56184,49049001502,49,049,1502,7138,2006,7138,3775,7,131,358,958,300,1212,2006,35,94,48,52,57,76,114,53,89,63,51,61,80,49,98,60,76,24,87,138,252,173,74,63,42066,2009,1599,464,105400
56185,49049001600,49,049,1600,12255,1676,12255,1943,6,15,111,823,170,579,1676,117,346,304,184,153,77,145,57,84,28,41,32,37,20,7,24,0,20,0,0,0,0,0,0,13465,1649,0,284,0
56186,49049001700,49,049,1700,6306,1852,6306,2619,8,22,211,844,156,894,1852,117,187,131,51,106,133,111,55,113,57,34,80,41,61,33,60,55,39,45,35,132,77,52,27,25774,1853,817,391,94700
56187,49049001800,49,049,1800,12621,3758,12621,3147,40,92,183,1319,303,880,3758,240,678,456,487,463,244,235,144,113,190,110,95,63,43,56,18,27,10,31,0,47,8,0,0,15097,3736,429,357,62800
56188,49049001900,49,049,1900,3272,1186,3272,1178,38,101,104,508,105,241,1186,104,236,160,112,120,75,61,44,68,38,21,38,43,11,12,5,6,7,0,10,9,6,0,0,14576,1192,200,316,52300
56189,49049002000,49,049,2000,5457,1834,5457,2668,145,414,500,880,295,344,1834,138,272,174,161,122,69,116,86,147,92,39,66,102,31,21,37,27,15,33,28,25,33,0,0,19312,1890,756,313,49100
56190,49049002100,49,049,2100,5816,1472,5816,2805,50,301,457,752,212,673,1472,41,64,44,77,66,60,23,51,54,75,85,53,40,82,32,21,84,58,88,92,170,36,26,21,37591,1495,1181,412,81300
56191,49049002200,49,049,2200,7496,1882,7496,3438,114,403,1006,936,361,435,1882,40,149,92,59,112,90,108,126,144,81,86,52,128,72,93,73,39,50,71,50,102,50,7,4,28148,1940,1484,405,57200
56192,49049002300,49,049,2300,2896,1023,2896,1325,63,217,332,390,107,148,1023,83,206,82,84,91,55,55,36,52,35,64,41,40,6,31,6,0,0,20,31,0,5,0,0,16552,1039,338,312,48700
56193,49049002400,49,049,2400,723,299,723,373,10,69,32,167,60,12,299,33,47,36,25,23,22,11,14,14,7,11,21,19,6,0,0,0,0,0,5,0,0,5,0,15924,284,63,286,39600
56194,49049002500,49,049,2500,3675,1383,3675,1636,90,180,284,482,150,331,1383,155,289,130,111,97,137,62,81,38,40,42,13,47,40,13,10,17,7,6,0,26,16,0,0,15168,1361,341,316,53100
56195,49049002600,49,049,2600,328,0,328,227,25,79,73,26,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56196,49049002700,49,049,2700,4120,1131,4120,1893,40,167,413,610,156,358,1131,62,160,112,34,70,60,47,68,71,35,50,33,36,58,0,29,9,5,56,36,54,41,0,5,23254,1147,641,332,60900
56197,49049002800,49,049,2800,3863,1368,3863,1617,80,225,365,458,190,242,1368,129,170,157,150,83,95,73,66,65,91,63,20,41,26,12,11,29,18,30,15,13,11,0,0,17349,1363,493,314,55400
56198,49049002900,49,049,2900,2542,819,2542,1259,52,170,421,356,93,120,819,50,95,53,52,29,75,41,50,78,50,48,33,37,32,4,13,23,29,0,6,21,0,0,0,23225,823,500,329,59600
56199,49049003000,49,049,3000,3642,1055,3642,1788,36,218,421,574,162,246,1055,38,112,59,45,27,96,54,30,44,28,67,17,55,49,54,41,29,16,49,32,56,44,4,9,29509,1037,764,347,64400
56200,49049003100,49,049,3100,8044,2403,8044,4005,88,433,1023,1267,322,625,2403,62,200,148,128,210,146,216,80,124,124,95,73,107,68,39,75,52,52,119,90,113,36,27,0,25232,2381,1655,354,65700
56201,49049003200,49,049,3200,8957,2538,8957,4245,119,448,1355,1299,402,470,2538,124,160,105,102,168,132,123,90,140,120,164,156,228,126,146,44,81,78,73,61,62,29,26,0,30076,2475,1848,368,59000
56202,49049003300,49,049,3300,2253,737,2253,1181,50,161,478,291,100,92,737,38,64,42,32,20,41,47,39,64,12,58,34,55,35,25,24,8,15,44,17,16,7,0,0,26777,732,511,327,58000
56203,49049003400,49,049,3400,9537,2536,9537,4402,95,738,1478,1138,457,396,2536,131,239,93,153,139,128,166,171,206,85,131,113,78,123,68,115,48,38,91,73,100,39,0,0,25583,2519,1954,351,54500
56204,49049010100,49,049,10100,2434,604,2434,1154,47,124,391,353,71,143,604,10,41,7,23,42,15,50,12,36,17,38,40,56,33,19,31,20,25,26,0,18,34,6,0,33187,625,514,434,67300
56205,49049010201,49,049,10201,7678,1576,7678,3130,49,172,713,1038,337,592,1576,19,50,22,23,44,14,51,71,73,81,95,110,98,67,104,49,49,73,147,37,164,91,20,10,38881,1588,1464,656,88700
56206,49049010298,49,049,10298,5352,1222,5352,2357,56,121,466,716,253,472,1222,34,38,38,34,27,35,35,32,55,42,63,64,25,60,24,60,44,37,70,65,99,123,39,13,42708,1213,1056,411,106300
