,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,3265.0,3073.0,1015.0,63815.0,242900.0,28497.0,667.0,94.0,1962.0,215.0,89.0,9.0,11.0,1364.0,58.0,294.0,909.0,106.0,1037.0,30924.0,36.0,21.0,22.0,22.0,58.0,33.0,57.0,38.0,58.0,67.0,206.0,152.0,109.0,74.0,32.0,30.0,67.0,11.0,13.0,21.0,0.0,12.0,4.0,0.0,6.0,14.0,2.0,2.0,1400000US49003960100,49,003,960100,5.0,0.0,0.0,3.0,2.0,0.0,48.0,6.0,1.0,3.0,0.0,15.0,16.0,2.0,5.0,12.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,49003960100,158400.0,19316.0,813.0,375.0,46.0,2.0,4.0,4.0,20.0,10.0,0.0,2.0,4.0,21.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,27.0,14.0,0.0,5.0,2.0,4.0,0.0,0.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26714.0,49,003,960100
1,7929.0,7117.0,2417.0,67370.0,197300.0,13223.0,803.0,100.0,4476.0,704.0,235.0,10.0,14.0,2559.0,136.0,524.0,2100.0,317.0,917.0,30419.0,59.0,41.0,24.0,65.0,60.0,118.0,131.0,94.0,126.0,171.0,478.0,341.0,328.0,214.0,88.0,79.0,203.0,36.0,12.0,22.0,40.0,28.0,51.0,0.0,14.0,158.0,33.0,20.0,1400000US49003960200,49,003,960200,45.0,19.0,17.0,5.0,3.0,16.0,60.0,32.0,4.0,4.0,11.0,0.0,6.0,0.0,3.0,32.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,8.0,49003960200,168200.0,8658.0,629.0,116.0,154.0,28.0,15.0,24.0,39.0,20.0,28.0,0.0,0.0,154.0,61.0,5.0,47.0,3.0,25.0,0.0,0.0,13.0,61.0,25.0,4.0,8.0,10.0,4.0,7.0,3.0,0.0,30.0,11.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,25494.0,49,003,960200
2,8960.0,7361.0,2818.0,52283.0,177800.0,19364.0,730.0,29.0,4616.0,596.0,318.0,12.0,3.0,3051.0,151.0,287.0,1919.0,899.0,915.0,29589.0,66.0,57.0,150.0,72.0,171.0,298.0,135.0,101.0,233.0,431.0,321.0,409.0,203.0,80.0,52.0,39.0,255.0,111.0,27.0,36.0,29.0,8.0,3.0,0.0,41.0,187.0,20.0,25.0,1400000US49003960300,49,003,960300,28.0,96.0,16.0,2.0,0.0,0.0,101.0,17.0,6.0,62.0,0.0,2.0,0.0,0.0,14.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,49003960300,152100.0,8751.0,620.0,45.0,306.0,59.0,34.0,51.0,20.0,121.0,21.0,0.0,0.0,96.0,52.0,0.0,0.0,3.0,12.0,8.0,0.0,21.0,259.0,77.0,0.0,57.0,2.0,40.0,0.0,40.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26655.0,49,003,960300
3,4913.0,4216.0,1589.0,63203.0,210100.0,20135.0,957.0,266.0,3071.0,515.0,118.0,12.0,5.0,1685.0,63.0,266.0,1414.0,175.0,1069.0,34574.0,58.0,15.0,19.0,35.0,39.0,24.0,53.0,81.0,170.0,237.0,179.0,214.0,232.0,110.0,61.0,62.0,97.0,17.0,16.0,4.0,22.0,26.0,7.0,0.0,5.0,55.0,12.0,8.0,1400000US49003960400,49,003,960400,11.0,9.0,7.0,2.0,0.0,6.0,66.0,5.0,8.0,18.0,27.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,49003960400,182900.0,12919.0,644.0,212.0,54.0,14.0,7.0,18.0,2.0,1.0,0.0,0.0,12.0,58.0,8.0,0.0,23.0,0.0,23.0,0.0,0.0,4.0,52.0,13.0,6.0,5.0,6.0,7.0,0.0,0.0,15.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29167.0,49,003,960400
4,5548.0,4749.0,1782.0,57022.0,186100.0,8346.0,643.0,96.0,3125.0,456.0,153.0,27.0,20.0,1863.0,199.0,363.0,1250.0,532.0,729.0,28284.0,106.0,86.0,56.0,93.0,79.0,54.0,90.0,87.0,133.0,147.0,243.0,229.0,142.0,77.0,106.0,54.0,479.0,170.0,56.0,45.0,50.0,89.0,8.0,4.0,57.0,139.0,37.0,9.0,1400000US49003960500,49,003,960500,11.0,34.0,30.0,18.0,0.0,0.0,33.0,6.0,0.0,0.0,13.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49003960500,167300.0,9421.0,561.0,53.0,275.0,130.0,2.0,38.0,53.0,30.0,22.0,0.0,0.0,194.0,97.0,12.0,12.0,33.0,18.0,11.0,0.0,11.0,34.0,1.0,4.0,1.0,13.0,0.0,15.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26837.0,49,003,960500
5,3638.0,3258.0,1274.0,48750.0,165000.0,13661.0,728.0,96.0,2343.0,352.0,154.0,19.0,0.0,1356.0,88.0,267.0,900.0,374.0,868.0,27083.0,156.0,51.0,0.0,68.0,50.0,60.0,111.0,104.0,41.0,83.0,135.0,214.0,123.0,27.0,43.0,8.0,119.0,36.0,17.0,12.0,5.0,18.0,20.0,11.0,0.0,43.0,23.0,8.0,1400000US49003960601,49,003,960601,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49003960601,141600.0,6581.0,650.0,135.0,202.0,20.0,36.0,38.0,29.0,65.0,14.0,0.0,0.0,72.0,41.0,0.0,14.0,17.0,0.0,0.0,0.0,0.0,59.0,35.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,24205.0,49,003,960601
6,2378.0,2056.0,847.0,72330.0,233300.0,14199.0,700.0,154.0,1633.0,412.0,154.0,22.0,12.0,884.0,21.0,0.0,746.0,101.0,1032.0,34167.0,10.0,12.0,20.0,33.0,42.0,23.0,44.0,15.0,28.0,110.0,100.0,132.0,94.0,86.0,51.0,47.0,31.0,7.0,0.0,8.0,0.0,5.0,0.0,0.0,11.0,17.0,2.0,0.0,1400000US49003960602,49,003,960602,8.0,0.0,4.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49003960602,192600.0,9264.0,711.0,251.0,79.0,35.0,8.0,17.0,3.0,16.0,0.0,0.0,0.0,71.0,17.0,10.0,20.0,14.0,6.0,0.0,0.0,4.0,37.0,13.0,1.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22378.0,49,003,960602
7,5327.0,4158.0,1895.0,51847.0,170600.0,6014.0,785.0,49.0,3282.0,492.0,141.0,26.0,21.0,1930.0,51.0,177.0,1275.0,620.0,868.0,27783.0,30.0,44.0,23.0,62.0,164.0,142.0,116.0,133.0,201.0,175.0,228.0,272.0,122.0,45.0,126.0,12.0,286.0,78.0,16.0,64.0,21.0,25.0,17.0,0.0,65.0,303.0,49.0,0.0,1400000US49003960701,49,003,960701,97.0,17.0,109.0,31.0,0.0,0.0,75.0,15.0,10.0,32.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49003960701,147900.0,7408.0,616.0,197.0,382.0,115.0,12.0,68.0,52.0,113.0,1.0,21.0,0.0,34.0,2.0,0.0,12.0,0.0,0.0,20.0,0.0,0.0,87.0,33.0,12.0,0.0,9.0,0.0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23360.0,49,003,960701
8,2773.0,2445.0,1001.0,45924.0,179300.0,12846.0,748.0,133.0,1614.0,306.0,121.0,4.0,4.0,1072.0,49.0,219.0,436.0,565.0,801.0,27108.0,92.0,64.0,64.0,58.0,69.0,49.0,63.0,33.0,58.0,86.0,78.0,103.0,61.0,60.0,34.0,29.0,269.0,92.0,18.0,6.0,69.0,35.0,28.0,0.0,21.0,74.0,11.0,4.0,1400000US49003960702,49,003,960702,26.0,17.0,0.0,0.0,13.0,3.0,49.0,22.0,0.0,20.0,0.0,0.0,0.0,0.0,7.0,51.0,43.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,49003960702,150200.0,13239.0,616.0,42.0,112.0,26.0,9.0,47.0,16.0,10.0,0.0,4.0,0.0,71.0,38.0,13.0,0.0,7.0,13.0,0.0,0.0,0.0,42.0,24.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25906.0,49,003,960702
9,4373.0,4039.0,1459.0,77961.0,268600.0,14969.0,900.0,419.0,2828.0,556.0,193.0,7.0,24.0,1545.0,31.0,198.0,1328.0,131.0,1154.0,30718.0,13.0,38.0,47.0,43.0,111.0,52.0,61.0,32.0,50.0,106.0,123.0,241.0,208.0,146.0,121.0,67.0,57.0,4.0,2.0,2.0,9.0,7.0,14.0,10.0,9.0,233.0,35.0,49.0,1400000US49003960801,49,003,960801,20.0,44.0,0.0,42.0,8.0,35.0,46.0,23.0,8.0,0.0,9.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,49003960801,192500.0,8964.0,664.0,174.0,59.0,25.0,8.0,0.0,18.0,0.0,5.0,3.0,0.0,76.0,15.0,7.0,31.0,6.0,0.0,13.0,0.0,4.0,28.0,11.0,0.0,0.0,10.0,0.0,3.0,0.0,4.0,40.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27454.0,49,003,960801
