,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
146,3405.0,2916.0,1752.0,50709.0,215900.0,24270.0,1122.0,66.0,2604.0,770.0,183.0,18.0,49.0,1903.0,12.0,0.0,804.0,948.0,1109.0,32090.0,174.0,72.0,75.0,36.0,145.0,47.0,95.0,133.0,80.0,232.0,187.0,268.0,59.0,48.0,65.0,36.0,368.0,57.0,29.0,43.0,61.0,108.0,48.0,11.0,11.0,86.0,23.0,8.0,1400000US49035111904,49,035,111904,30.0,15.0,10.0,0.0,0.0,0.0,110.0,0.0,22.0,0.0,21.0,37.0,20.0,0.0,10.0,39.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,30.0,49035111904,211000.0,18716.0,874.0,53.0,502.0,120.0,18.0,86.0,47.0,92.0,139.0,0.0,0.0,82.0,33.0,0.0,13.0,0.0,0.0,27.0,0.0,9.0,103.0,54.0,2.0,0.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28361.0,49,035,111904
147,3483.0,2604.0,1519.0,38327.0,207600.0,24760.0,1013.0,76.0,2393.0,502.0,182.0,24.0,54.0,1778.0,57.0,44.0,591.0,928.0,987.0,25497.0,113.0,80.0,118.0,74.0,205.0,96.0,119.0,93.0,5.0,154.0,167.0,106.0,67.0,48.0,36.0,38.0,416.0,47.0,67.0,69.0,100.0,71.0,51.0,11.0,0.0,57.0,9.0,12.0,1400000US49035111905,49,035,111905,27.0,0.0,9.0,0.0,0.0,0.0,163.0,37.0,0.0,60.0,49.0,8.0,9.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,49035111905,221000.0,10794.0,879.0,49.0,430.0,104.0,64.0,99.0,30.0,18.0,50.0,0.0,65.0,67.0,0.0,11.0,0.0,14.0,15.0,0.0,0.0,27.0,76.0,37.0,0.0,18.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25136.0,49,035,111905
148,4262.0,2650.0,1735.0,44640.0,234200.0,21870.0,1049.0,43.0,2718.0,418.0,218.0,11.0,0.0,1913.0,9.0,26.0,298.0,1437.0,1041.0,26156.0,89.0,89.0,50.0,50.0,102.0,160.0,197.0,139.0,102.0,188.0,272.0,196.0,62.0,0.0,39.0,0.0,555.0,143.0,89.0,107.0,143.0,44.0,29.0,0.0,0.0,85.0,23.0,0.0,1400000US49035111906,49,035,111906,11.0,29.0,22.0,0.0,0.0,0.0,336.0,28.0,10.0,73.0,99.0,81.0,11.0,0.0,34.0,36.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,49035111906,197000.0,20430.0,882.0,50.0,671.0,131.0,74.0,141.0,101.0,117.0,66.0,36.0,5.0,180.0,63.0,5.0,30.0,60.0,0.0,22.0,0.0,0.0,173.0,12.0,0.0,57.0,67.0,0.0,37.0,0.0,0.0,49.0,23.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,20093.0,49,035,111906
149,3442.0,2743.0,1499.0,50964.0,239400.0,12835.0,968.0,62.0,2275.0,522.0,230.0,52.0,54.0,1555.0,109.0,96.0,863.0,636.0,991.0,28898.0,97.0,78.0,83.0,42.0,123.0,25.0,87.0,112.0,84.0,154.0,127.0,206.0,93.0,82.0,84.0,22.0,253.0,56.0,14.0,59.0,53.0,19.0,43.0,9.0,0.0,66.0,28.0,21.0,1400000US49035112001,49,035,112001,0.0,11.0,0.0,0.0,0.0,6.0,222.0,23.0,0.0,49.0,37.0,75.0,13.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49035112001,231300.0,21483.0,850.0,71.0,355.0,76.0,48.0,72.0,51.0,67.0,41.0,0.0,0.0,53.0,30.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,103.0,14.0,9.0,45.0,0.0,14.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24908.0,49,035,112001
150,4968.0,4232.0,2065.0,61422.0,251000.0,46396.0,958.0,53.0,3620.0,765.0,393.0,101.0,0.0,2188.0,166.0,157.0,1122.0,943.0,928.0,31675.0,109.0,97.0,64.0,68.0,76.0,23.0,175.0,137.0,45.0,189.0,266.0,412.0,196.0,94.0,48.0,66.0,725.0,111.0,82.0,188.0,101.0,158.0,69.0,16.0,0.0,124.0,79.0,18.0,1400000US49035112002,49,035,112002,18.0,0.0,9.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49035112002,202300.0,23062.0,827.0,43.0,452.0,118.0,56.0,71.0,50.0,139.0,0.0,0.0,18.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,98.0,52.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,29055.0,49,035,112002
151,8873.0,6223.0,3434.0,58015.0,238700.0,20449.0,1111.0,40.0,5791.0,881.0,390.0,64.0,27.0,3703.0,137.0,180.0,1343.0,2091.0,1139.0,25593.0,172.0,97.0,83.0,336.0,183.0,40.0,128.0,264.0,45.0,477.0,474.0,613.0,242.0,102.0,116.0,62.0,958.0,277.0,82.0,184.0,195.0,45.0,57.0,16.0,102.0,284.0,89.0,81.0,1400000US49035112100,49,035,112100,95.0,0.0,0.0,19.0,0.0,0.0,135.0,4.0,0.0,20.0,0.0,111.0,0.0,0.0,0.0,56.0,0.0,14.0,0.0,0.0,0.0,42.0,0.0,0.0,49035112100,235800.0,16917.0,933.0,75.0,777.0,179.0,0.0,349.0,70.0,32.0,67.0,19.0,61.0,203.0,155.0,0.0,12.0,36.0,0.0,0.0,0.0,0.0,247.0,95.0,41.0,13.0,19.0,47.0,32.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,26477.0,49,035,112100
152,5341.0,4559.0,1750.0,66544.0,236100.0,9202.0,1422.0,265.0,3523.0,695.0,257.0,12.0,27.0,1750.0,0.0,11.0,1614.0,136.0,1131.0,29335.0,39.0,79.0,54.0,73.0,30.0,47.0,70.0,97.0,80.0,202.0,157.0,179.0,287.0,198.0,84.0,74.0,367.0,21.0,135.0,30.0,75.0,35.0,4.0,0.0,67.0,28.0,10.0,0.0,1400000US49035112201,49,035,112201,0.0,0.0,9.0,0.0,0.0,9.0,29.0,16.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49035112201,222700.0,12978.0,990.0,277.0,330.0,41.0,29.0,53.0,38.0,90.0,46.0,0.0,33.0,75.0,0.0,0.0,56.0,0.0,9.0,10.0,0.0,0.0,114.0,70.0,0.0,36.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30977.0,49,035,112201
153,3818.0,3390.0,1443.0,55492.0,216500.0,19988.0,1113.0,114.0,2692.0,432.0,174.0,18.0,49.0,1480.0,222.0,48.0,1069.0,374.0,1069.0,29241.0,12.0,40.0,121.0,88.0,61.0,43.0,28.0,162.0,38.0,188.0,80.0,170.0,139.0,128.0,110.0,35.0,169.0,8.0,19.0,25.0,67.0,36.0,7.0,7.0,0.0,79.0,18.0,0.0,1400000US49035112202,49,035,112202,0.0,40.0,21.0,0.0,0.0,0.0,44.0,8.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49035112202,183400.0,10024.0,820.0,189.0,79.0,8.0,8.0,43.0,11.0,0.0,0.0,0.0,9.0,44.0,16.0,0.0,12.0,8.0,0.0,8.0,0.0,0.0,28.0,21.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27238.0,49,035,112202
154,3901.0,2974.0,1422.0,54478.0,283200.0,25961.0,966.0,77.0,2471.0,682.0,199.0,37.0,37.0,1502.0,72.0,29.0,984.0,438.0,1000.0,30080.0,61.0,73.0,25.0,92.0,63.0,84.0,79.0,64.0,57.0,152.0,177.0,116.0,188.0,51.0,54.0,86.0,432.0,83.0,60.0,47.0,55.0,45.0,91.0,0.0,51.0,19.0,9.0,0.0,1400000US49035112301,49,035,112301,10.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,66.0,31.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,49035112301,249300.0,29251.0,760.0,53.0,409.0,84.0,53.0,78.0,79.0,85.0,11.0,19.0,0.0,59.0,37.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,20.0,24.0,23.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27813.0,49,035,112301
155,3904.0,3494.0,1346.0,72065.0,274200.0,15303.0,1079.0,53.0,2672.0,607.0,226.0,22.0,9.0,1403.0,97.0,17.0,991.0,355.0,1076.0,30575.0,0.0,25.0,8.0,35.0,56.0,92.0,72.0,30.0,66.0,190.0,148.0,257.0,125.0,132.0,61.0,49.0,207.0,22.0,0.0,52.0,42.0,64.0,27.0,0.0,0.0,96.0,12.0,0.0,1400000US49035112302,49,035,112302,54.0,30.0,0.0,0.0,0.0,0.0,120.0,0.0,9.0,47.0,8.0,8.0,27.0,21.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,49035112302,230800.0,8870.0,882.0,37.0,211.0,77.0,17.0,43.0,33.0,18.0,8.0,0.0,15.0,100.0,50.0,0.0,25.0,0.0,16.0,9.0,0.0,0.0,74.0,18.0,0.0,14.0,42.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30371.0,49,035,112302
